Sales Domain.[Sold To],Sales Domain.[Sold To Image],Sales Domain.[Sold To Status],Sales Domain.[Sold To$DisplayName],Sales Domain.[Sold To$InActive],Sales Domain.[Sold To$Partition],Sales Domain.[Zip Code],Sales Domain.[Zip Code$DisplayName],Sales Domain.[Zip Code$InActive],Sales Domain.[Zip Code$Partition],Sales Domain.[Region],Sales Domain.[Region Image],Sales Domain.[Region$DisplayName],Sales Domain.[Region$InActive],Sales Domain.[Region$Partition],Sales Domain.[All Sales Domain],Sales Domain.[All Sales Domain Image],Sales Domain.[All Sales Domain$DisplayName],Sales Domain.[All Sales Domain$InActive],Sales Domain.[All Sales Domain$Partition],Sales Domain.[Division],Sales Domain.[Division Image],Sales Domain.[Division$DisplayName],Sales Domain.[Division$InActive],Sales Domain.[Division$Partition],Sales Domain.[Stat Customer Group],Sales Domain.[Stat Customer Group$DisplayName],Sales Domain.[Stat Customer Group$InActive],Sales Domain.[Stat Customer Group$Partition],Sales Domain.[Geo],Sales Domain.[Geo Image],Sales Domain.[Geo$DisplayName],Sales Domain.[Geo$InActive],Sales Domain.[Geo$Partition],Sales Domain.[City],Sales Domain.[City$DisplayName],Sales Domain.[City$InActive],Sales Domain.[City$Partition],Sales Domain.[Accounting Group],Sales Domain.[Accounting Group Image],Sales Domain.[Accounting Group$DisplayName],Sales Domain.[Accounting Group$InActive],Sales Domain.[Accounting Group$Partition],Sales Domain.[Ship To],Sales Domain.[Ship To$DisplayName],Sales Domain.[Ship To$InActive],Sales Domain.[Ship To$Partition],Sales Domain.[Latitude],Sales Domain.[Longitude],Sales Domain.[Ship To Status],Sales Domain.[Store Address],Sales Domain.[Store Open Date],Sales Domain.[Store Status],Sales Domain.[Street],Sales Domain.[Zone],Sales Domain.[Zone$DisplayName],Sales Domain.[Zone$InActive],Sales Domain.[Zone$Partition],Sales Domain.[Channel],Sales Domain.[Channel Image],Sales Domain.[Channel$DisplayName],Sales Domain.[Channel$InActive],Sales Domain.[Channel$Partition],Sales Domain.[Customer Group],Sales Domain.[Customer Group Image],Sales Domain.[Customer Group$DisplayName],Sales Domain.[Customer Group$InActive],Sales Domain.[Customer Group$Partition],Sales Domain.[Customer Class],Sales Domain.[Customer Class$DisplayName],Sales Domain.[Customer Class$InActive],Sales Domain.[Customer Class$Partition],Sales Domain.[State],Sales Domain.[State Image],Sales Domain.[State Code],Sales Domain.[State$DisplayName],Sales Domain.[State$InActive],Sales Domain.[State$Partition],Sales Domain.[Ship To Class],Sales Domain.[Ship To Class$DisplayName],Sales Domain.[Ship To Class$InActive],Sales Domain.[Ship To Class$Partition],Sales Domain.[Channel Group],Sales Domain.[Channel Group Image],Sales Domain.[Channel Group$DisplayName],Sales Domain.[Channel Group$InActive],Sales Domain.[Channel Group$Partition],Sales Domain.[Country],Sales Domain.[Country Image],Sales Domain.[Country$DisplayName],Sales Domain.[Country$InActive],Sales Domain.[Country$Partition]
3274,,,3274,,,37087,37087,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,234,234,,,North America,,North America,,,Lebanon,Lebanon,,,MCDUS-SACO-0062,,MCDUS-SACO-0062,,,3274,3274,,,36.187615,-86.295601,,,26-Mar-1975,OPENED,S Cumberland St,zz_NONE,zz_NONE,,,60,,60,,,3274,,3274,,,,,,,Tennessee,,TN,Tennessee,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
32819,,,32819,,,38305,38305,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,256,256,,,North America,,North America,,,Jackson,Jackson,,,MCDUS-SACO-0065,,MCDUS-SACO-0065,,,32819,32819,,,35.6740421,-88.7818454,,,04-Dec-2008,OPENED,Christmasville Cove,zz_NONE,zz_NONE,,,60,,60,,,32819,,32819,,,,,,,Tennessee,,TN,Tennessee,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
3366,,,3366,,,10472,10472,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,New York,New York,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,3366,3366,,,40.82837715,-73.87800586,,,22-Jun-1976,OPENED,Westchester Avenue,zz_NONE,zz_NONE,,,42,,42,,,3366,,3366,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
34272,,,34272,,,84004,84004,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Cedar Hills,Cedar Hills,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,34272,34272,,,40.4168199,-111.7730829,,,26-Jul-2010,OPENED,North North County Boulevard,zz_NONE,zz_NONE,,,14,,14,,,34272,,34272,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
34290,,,34290,,,37122,37122,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,234,234,,,North America,,North America,,,Mount Juliet,Mount Juliet,,,MCDUS-SACO-0062,,MCDUS-SACO-0062,,,34290,34290,,,36.161392,-86.514653,,,03-May-2012,OPENED,S Mt Juliet Rd,zz_NONE,zz_NONE,,,60,,60,,,34290,,34290,,,,,,,Tennessee,,TN,Tennessee,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
34803,,,34803,,,32208,32208,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,236,236,,,North America,,North America,,,Jacksonville,Jacksonville,,,MCDUS-SACO-0029,,MCDUS-SACO-0029,,,34803,34803,,,30.371308,-81.664464,,,21-Oct-2011,OPENED,Norwood Ave,zz_NONE,zz_NONE,,,15,,15,,,34803,,34803,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
36470,,,36470,,,10917-6501,10917-6501,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,Woodbury,Woodbury,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,36470,36470,,,41.3178718,-74.125656,,,27-Aug-2015,OPENED,Center Road South,zz_NONE,zz_NONE,,,42,,42,,,36470,,36470,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
36566,,,36566,,,37174,37174,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,234,234,,,North America,,North America,,,Spring Hill,Spring Hill,,,MCDUS-SACO-0062,,MCDUS-SACO-0062,,,36566,36566,,,35.7372172,-86.89298257,,,31-Oct-2014,OPENED,Reserve Boulevard,zz_NONE,zz_NONE,,,60,,60,,,36566,,36566,,,,,,,Tennessee,,TN,Tennessee,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
37265,,,37265,,,84081,84081,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,West Jordan,West Jordan,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,37265,37265,,,40.609796,-112.0267944,,,19-Jun-2015,OPENED,7800 South,zz_NONE,zz_NONE,,,14,,14,,,37265,,37265,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
38983,,,38983,,,72450,72450,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,256,256,,,North America,,North America,,,Paragould,Paragould,,,MCDUS-SACO-TEMP,,MCDUS-SACO-TEMP,,,38983,38983,,,36.05972701,-90.54798687,,,13-Nov-2019,OPENED,South Rockingchair Road,zz_NONE,zz_NONE,,,60,,60,,,38983,,38983,,,,,,,Arkansas,,AR,Arkansas,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
39401,,,39401,,,38117,38117,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,256,256,,,North America,,North America,,,Memphis,Memphis,,,MCDUS-SACO-TEMP,,MCDUS-SACO-TEMP,,,39401,39401,,,35.091882,-89.907315,,,22-Apr-2021,OPENED,S Perkins Rd,zz_NONE,zz_NONE,,,60,,60,,,39401,,39401,,,,,,,Tennessee,,TN,Tennessee,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
5293,,,5293,,,60620,60620,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Chicago,Chicago,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,5293,5293,,,41.74246855,-87.66280832,,,15-Nov-1979,OPENED,South Ashland Avenue,zz_NONE,zz_NONE,,,99,,99,,,5293,,5293,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
5318,,,5318,,,35055,35055,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,235,235,,,North America,,North America,,,Cullman,Cullman,,,MCDUS-SACO-0099,,MCDUS-SACO-0099,,,5318,5318,,,34.16098,-86.835893,,,12-Dec-1979,OPENED,2nd Ave SW,zz_NONE,zz_NONE,,,60,,60,,,5318,,5318,,,,,,,Alabama,,AL,Alabama,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
5895,,,5895,,,60640,60640,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Chicago,Chicago,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,5895,5895,,,41.96576785,-87.65521695,,,15-Jul-1981,OPENED,West Wilson Avenue,zz_NONE,zz_NONE,,,99,,99,,,5895,,5895,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
6199,,,6199,,,35640,35640,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,234,234,,,North America,,North America,,,Hartselle,Hartselle,,,MCDUS-SACO-0064,,MCDUS-SACO-0064,,,6199,6199,,,34.441561,-86.942307,,,22-May-1982,OPENED,Hwy 31 SW,zz_NONE,zz_NONE,,,60,,60,,,6199,,6199,,,,,,,Alabama,,AL,Alabama,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
6638,,,6638,,,39730,39730,,,66,https://www.planetware.com/photos-large/USTN/us-tennessee-titanic-museum.jpg,66,,,All,,All,,,66,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_66_adobespark.png,66,,,256,256,,,North America,,North America,,,Aberdeen,Aberdeen,,,MCDUS-SACO-0126,,MCDUS-SACO-0126,,,6638,6638,,,33.82907616,-88.56138524,,,26-May-1983,OPENED,Old US Hwy 45,zz_NONE,zz_NONE,,,60,,60,,,6638,,6638,,,,,,,Mississippi,,MS,Mississippi,,,zz_None,zz_None,,,60,,60,,,USA,,USA,,
6717,,,6717,,,32137,32137,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,250,250,,,North America,,North America,,,Palm Coast,Palm Coast,,,MCDUS-SACO-0036,,MCDUS-SACO-0036,,,6717,6717,,,29.5542486,-81.2119833,,,22-Jul-1983,OPENED,South Old Kings Road,zz_NONE,zz_NONE,,,15,,15,,,6717,,6717,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
706,,,706,,,84117,84117,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Holladay,Holladay,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,706,706,,,40.66631125,-111.8374756,,,16-Feb-1965,OPENED,Murray Holladay Road,zz_NONE,zz_NONE,,,14,,14,,,706,,706,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
86,,,86,,,33629,33629,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,250,250,,,North America,,North America,,,Tampa,Tampa,,,MCDUS-SACO-0041,,MCDUS-SACO-0041,,,86,86,,,27.910934,-82.506682,,,07-Mar-1958,OPENED,S Dale Mabry Hy,zz_NONE,zz_NONE,,,15,,15,,,86,,86,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
888,,,888,,,60123,60123,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Elgin,Elgin,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,888,888,,,42.03510305,-88.31416004,,,17-Jan-1967,OPENED,Larkin Avenue,zz_NONE,zz_NONE,,,99,,99,,,888,,888,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zz_NONE,,,zz_NONE,,,,,,,,,,,,,,,,
,,,,,,zz_NONE,zz_NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zz_NONE,zz_NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
