Sales Domain.[Sold To],Sales Domain.[Sold To Image],Sales Domain.[Sold To Status],Sales Domain.[Sold To$DisplayName],Sales Domain.[Sold To$InActive],Sales Domain.[Sold To$Partition],Sales Domain.[Zip Code],Sales Domain.[Zip Code$DisplayName],Sales Domain.[Zip Code$InActive],Sales Domain.[Zip Code$Partition],Sales Domain.[Region],Sales Domain.[Region Image],Sales Domain.[Region$DisplayName],Sales Domain.[Region$InActive],Sales Domain.[Region$Partition],Sales Domain.[All Sales Domain],Sales Domain.[All Sales Domain Image],Sales Domain.[All Sales Domain$DisplayName],Sales Domain.[All Sales Domain$InActive],Sales Domain.[All Sales Domain$Partition],Sales Domain.[Division],Sales Domain.[Division Image],Sales Domain.[Division$DisplayName],Sales Domain.[Division$InActive],Sales Domain.[Division$Partition],Sales Domain.[Stat Customer Group],Sales Domain.[Stat Customer Group$DisplayName],Sales Domain.[Stat Customer Group$InActive],Sales Domain.[Stat Customer Group$Partition],Sales Domain.[Geo],Sales Domain.[Geo Image],Sales Domain.[Geo$DisplayName],Sales Domain.[Geo$InActive],Sales Domain.[Geo$Partition],Sales Domain.[City],Sales Domain.[City$DisplayName],Sales Domain.[City$InActive],Sales Domain.[City$Partition],Sales Domain.[Accounting Group],Sales Domain.[Accounting Group Image],Sales Domain.[Accounting Group$DisplayName],Sales Domain.[Accounting Group$InActive],Sales Domain.[Accounting Group$Partition],Sales Domain.[Ship To],Sales Domain.[Ship To$DisplayName],Sales Domain.[Ship To$InActive],Sales Domain.[Ship To$Partition],Sales Domain.[Latitude],Sales Domain.[Longitude],Sales Domain.[Ship To Status],Sales Domain.[Store Address],Sales Domain.[Store Open Date],Sales Domain.[Store Status],Sales Domain.[Street],Sales Domain.[Zone],Sales Domain.[Zone$DisplayName],Sales Domain.[Zone$InActive],Sales Domain.[Zone$Partition],Sales Domain.[Channel],Sales Domain.[Channel Image],Sales Domain.[Channel$DisplayName],Sales Domain.[Channel$InActive],Sales Domain.[Channel$Partition],Sales Domain.[Customer Group],Sales Domain.[Customer Group Image],Sales Domain.[Customer Group$DisplayName],Sales Domain.[Customer Group$InActive],Sales Domain.[Customer Group$Partition],Sales Domain.[Customer Class],Sales Domain.[Customer Class$DisplayName],Sales Domain.[Customer Class$InActive],Sales Domain.[Customer Class$Partition],Sales Domain.[State],Sales Domain.[State Image],Sales Domain.[State Code],Sales Domain.[State$DisplayName],Sales Domain.[State$InActive],Sales Domain.[State$Partition],Sales Domain.[Ship To Class],Sales Domain.[Ship To Class$DisplayName],Sales Domain.[Ship To Class$InActive],Sales Domain.[Ship To Class$Partition],Sales Domain.[Channel Group],Sales Domain.[Channel Group Image],Sales Domain.[Channel Group$DisplayName],Sales Domain.[Channel Group$InActive],Sales Domain.[Channel Group$Partition],Sales Domain.[Country],Sales Domain.[Country Image],Sales Domain.[Country$DisplayName],Sales Domain.[Country$InActive],Sales Domain.[Country$Partition]
14403,,,14403,,,60008,60008,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Rolling Meadows,Rolling Meadows,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,14403,14403,,,42.078604,-88.019276,,,29-Dec-1994,OPENED,Kirchoff Road,zz_NONE,zz_NONE,,,99,,99,,,14403,,14403,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
1443,,,1443,,,7052,7052,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,West Orange,West Orange,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,1443,1443,,,40.770107,-74.281686,,,23-Nov-1971,OPENED,Northfield Avenue,zz_NONE,zz_NONE,,,42,,42,,,1443,,1443,,,,,,,New Jersey,,NJ,New Jersey,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
17890,,,17890,,,32210,32210,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,236,236,,,North America,,North America,,,Jacksonville,Jacksonville,,,MCDUS-SACO-0029,,MCDUS-SACO-0029,,,17890,17890,,,30.270896,-81.736351,,,07-Apr-1999,OPENED,Blanding Blvd,zz_NONE,zz_NONE,,,15,,15,,,17890,,17890,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
17997,,,17997,,,32926,32926,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,250,250,,,North America,,North America,,,Cocoa,Cocoa,,,MCDUS-SACO-0036,,MCDUS-SACO-0036,,,17997,17997,,,28.39765355,-80.76453325,,,14-Dec-1995,OPENED,FL 524,zz_NONE,zz_NONE,,,15,,15,,,17997,,17997,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
20199,,,20199,,,11214,11214,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,New York,New York,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,20199,20199,,,40.60492835,-73.9982057,,,30-Jun-1996,OPENED,20th Avenue,zz_NONE,zz_NONE,,,42,,42,,,20199,,20199,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
20200,,,20200,,,11209,11209,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,New York,New York,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,20200,20200,,,40.633655,-74.027066,,,03-Jun-1997,OPENED,72nd Street,zz_NONE,zz_NONE,,,42,,42,,,20200,,20200,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
20313,,,20313,,,60467,60467,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Orland Park,Orland Park,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,20313,20313,,,41.60009285,-87.89303861,,,31-Dec-1996,OPENED,West 159th Street,zz_NONE,zz_NONE,,,99,,99,,,20313,,20313,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
20695,,,20695,,,84042,84042,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Pleasant Grove,Pleasant Grove,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,20695,20695,,,40.3548874,-111.7361532,,,18-Jun-1999,OPENED,East 700 South,zz_NONE,zz_NONE,,,14,,14,,,20695,,20695,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
22179,,,22179,,,84129,84129,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Cottonwood Heights,Cottonwood Heights,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,22179,22179,,,40.6234883,-111.8347905,,,06-Oct-1997,OPENED,Highland Drive,zz_NONE,zz_NONE,,,14,,14,,,22179,,22179,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
22889,,,22889,,,60110,60110,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Carpentersville,Carpentersville,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,22889,22889,,,42.12351325,-88.33623575,,,12-Feb-2002,OPENED,Randall Road,zz_NONE,zz_NONE,,,99,,99,,,22889,,22889,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
